domain_519 IP_1114 1
domain_519 IP_963 1
domain_519 IP_74 1
domain_519 IP_341 1
domain_519 IP_308 1
domain_519 IP_757 1
domain_412 IP_757 1
domain_412 IP_308 1
domain_412 IP_180 1
domain_412 IP_963 1
domain_412 IP_74 1
domain_412 IP_1114 1
domain_412 IP_1147 1
domain_412 IP_1126 1
domain_412 IP_341 1
domain_2369 IP_1126 1
domain_2369 IP_180 1
domain_2369 IP_341 1
domain_2369 IP_963 1
domain_2369 IP_1147 1
domain_2369 IP_308 1
domain_2369 IP_757 1
domain_2369 IP_1114 1
domain_2369 IP_74 1
domain_871 IP_692 1
domain_871 IP_988 1
domain_371 IP_755 1
domain_652 IP_298 1
domain_652 IP_358 1
domain_1110 IP_162 1
domain_1110 IP_224 1
domain_920 IP_224 1
domain_920 IP_162 1
domain_716 IP_1114 1
domain_716 IP_180 1
domain_716 IP_308 1
domain_716 IP_341 1
domain_716 IP_757 1
domain_716 IP_963 1
domain_716 IP_1126 1
domain_716 IP_1147 1
domain_716 IP_74 1
domain_913 IP_162 1
domain_913 IP_224 1
domain_1312 IP_1260 1
domain_1312 IP_0 1
domain_1312 IP_762 1
domain_1312 IP_1073 1
domain_2058 IP_1189 1
domain_2215 IP_224 1
domain_2215 IP_162 1
domain_1123 IP_461 1
domain_1123 IP_225 1
domain_1338 IP_216 1
domain_1338 IP_908 1
domain_1662 IP_341 1
domain_1662 IP_308 1
domain_1662 IP_1126 1
domain_1662 IP_1114 1
domain_1662 IP_757 1
domain_1662 IP_1147 1
domain_1662 IP_963 1
domain_1662 IP_180 1
domain_1662 IP_74 1
domain_1253 IP_217 1
domain_1253 IP_1112 1
domain_452 IP_1147 1
domain_452 IP_757 1
domain_452 IP_74 1
domain_452 IP_180 1
domain_452 IP_1126 1
domain_452 IP_341 1
domain_452 IP_963 1
domain_452 IP_308 1
domain_452 IP_1114 1
domain_928 IP_162 1
domain_928 IP_224 1
domain_1633 IP_1368 1
domain_2363 IP_228 1
domain_2363 IP_1312 1
domain_2142 IP_365 1
domain_2142 IP_1272 1
domain_1409 IP_576 1
domain_1409 IP_546 1
domain_277 IP_563 1
domain_2193 IP_1451 1
domain_2193 IP_1450 1
domain_2193 IP_1082 1
domain_2193 IP_405 1
domain_2193 IP_1440 1
domain_2193 IP_1397 1
domain_2193 IP_303 1
domain_2193 IP_1320 1
domain_2193 IP_1264 1
domain_2193 IP_1270 1
domain_2193 IP_1013 1
domain_2193 IP_1014 1
domain_2193 IP_1365 1
domain_2193 IP_77 1
domain_2193 IP_1433 1
domain_1056 IP_740 1
domain_1056 IP_396 1
domain_2321 IP_226 1
domain_2321 IP_621 1
domain_700 IP_989 1
domain_700 IP_992 1
domain_2181 IP_153 1
domain_2181 IP_654 1
domain_2181 IP_179 1
domain_2181 IP_423 1
domain_2181 IP_645 1
domain_1693 IP_1387 1
domain_1693 IP_387 1
domain_1693 IP_699 1
domain_1693 IP_981 1
domain_2248 IP_746 1
domain_2248 IP_845 1
domain_2248 IP_610 1
domain_2248 IP_53 1
domain_2326 IP_261 1
domain_2326 IP_287 1
domain_2280 IP_873 1
domain_528 IP_329 1
domain_528 IP_1210 1
domain_356 IP_699 1
domain_356 IP_387 1
domain_356 IP_981 1
domain_356 IP_1387 1
domain_738 IP_668 1
domain_1011 IP_1288 1
domain_1011 IP_709 1
domain_1858 IP_1114 1
domain_1858 IP_341 1
domain_1858 IP_1147 1
domain_1858 IP_757 1
domain_1858 IP_963 1
domain_1858 IP_180 1
domain_1858 IP_1126 1
domain_1858 IP_74 1
domain_1858 IP_308 1
domain_2153 IP_162 1
domain_2153 IP_224 1
domain_442 IP_1147 1
domain_442 IP_1126 1
domain_442 IP_1114 1
domain_442 IP_757 1
domain_442 IP_341 1
domain_442 IP_963 1
domain_442 IP_180 1
domain_442 IP_308 1
domain_442 IP_74 1
domain_260 IP_1418 1
domain_260 IP_593 1
domain_650 IP_362 1
domain_650 IP_112 1
domain_1039 IP_1114 1
